docname,topic,proportion
apple_articles.csv:14,007,0.358951
apple_articles.csv:14,052,0.209518
apple_articles.csv:14,000,0.183793
apple_articles.csv:14,020,0.077304
apple_articles.csv:14,038,0.071314
apple_articles.csv:14,059,0.062784
apple_articles.csv:14,053,0.034762
apple_articles.csv:14,013,0.001574
apple_articles.csv:49,004,0.367935
apple_articles.csv:49,006,0.193622
apple_articles.csv:49,008,0.122602
apple_articles.csv:49,007,0.113782
apple_articles.csv:49,013,0.083563
apple_articles.csv:49,050,0.073009
apple_articles.csv:49,005,0.025171
apple_articles.csv:49,011,0.020317
apple_articles.csv:84,012,0.27937
apple_articles.csv:84,003,0.219648
apple_articles.csv:84,044,0.177647
apple_articles.csv:84,023,0.103446
apple_articles.csv:84,028,0.074597
apple_articles.csv:84,006,0.073296
apple_articles.csv:84,001,0.039161
apple_articles.csv:84,036,0.032835
apple_articles.csv:119,026,0.389389
apple_articles.csv:119,069,0.166153
apple_articles.csv:119,057,0.13371
apple_articles.csv:119,027,0.127373
apple_articles.csv:119,029,0.113165
apple_articles.csv:119,013,0.070211
apple_articles.csv:154,053,0.753899
apple_articles.csv:154,012,0.165129
apple_articles.csv:154,001,0.080972
apple_articles.csv:189,044,1.0
apple_articles.csv:224,012,0.273454
apple_articles.csv:224,005,0.252666
apple_articles.csv:224,053,0.228445
apple_articles.csv:224,046,0.116475
apple_articles.csv:224,004,0.082817
apple_articles.csv:224,001,0.046144
apple_articles.csv:259,003,0.316763
apple_articles.csv:259,019,0.259771
apple_articles.csv:259,017,0.124399
apple_articles.csv:259,002,0.111484
apple_articles.csv:259,061,0.100966
apple_articles.csv:259,012,0.086617
apple_articles.csv:294,006,0.884614
apple_articles.csv:294,013,0.06731
apple_articles.csv:294,015,0.048076
apple_articles.csv:329,021,0.418101
apple_articles.csv:329,009,0.219648
apple_articles.csv:329,000,0.168796
apple_articles.csv:329,041,0.096869
apple_articles.csv:329,030,0.096586
apple_articles.csv:364,031,0.808394
apple_articles.csv:364,019,0.127945
apple_articles.csv:364,021,0.063661
apple_articles.csv:399,005,0.407122
apple_articles.csv:399,046,0.19928
apple_articles.csv:399,017,0.179755
apple_articles.csv:399,018,0.147437
